Blog	want	best	much	life	things	possible	right	old	love	such	didn	open	say	take	going	where	being	around	her	past	company	always	really	also	set	see	let	using	d	us	ago	video	great	next	high	doing	could	should	ve	off	less	work	after	then	them	another	com	post	way	change	live	use	still	year	than	only	these	real	read	early	lot	very	help	actually	since	won	both	look	while	used	game	doesn	go	started	him	need	based	she	well	twitter	home	he	even	ever	never	give	before	better	m	said	three	make	left	down	did	making	may	think	long	show	enough	those	different	same	again	public	free	two	through	good	hard	world	big	bit	back	ll	day	under	every	would	end	over	got	days	top	too	took	full	news	no	today	any	sure	come	week	short	might	part	his	called	find	few	something	our	which	who	why	last	other	know	because	own	made
43 Folders	26	14	37	32	55	5	24	10	15	6	8	4	21	10	7	20	17	10	17	8	2	20	77	27	3	18	17	8	45	21	3	14	14	3	0	16	24	16	40	13	16	59	10	25	22	10	17	2	36	13	8	11	20	14	36	22	24	19	43	4	39	29	30	14	5	10	8	5	10	6	2	18	21	2	12	21	2	29	24	4	6	39	50	26	26	4	13	27	47	14	3	45	2	9	13	11	15	31	21	4	15	27	7	9	10	1	8	10	7	26	16	13	25	7	25	37	16	20	12	20	7	29	2	7	2	14	2	7	1	37	13	38	10	5	11	3	16	17	28	3	10	13	23	35	45	70	32	13	22	40	57	13	28
Autoblog	3	0	1	0	1	0	1	0	0	0	0	3	0	4	0	0	1	0	0	0	2	0	0	0	0	40	1	0	2	3	0	1	0	0	0	0	0	0	0	1	3	0	5	0	1	0	0	0	1	0	0	39	0	3	3	0	0	4	0	0	1	0	0	0	0	2	0	3	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	6	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	1	0	2	1	6	0	0	0	0	0	42	3	1	0	4	0	0	0	2	3	0	2	0	0	0	0	0	0	1	0	0	3	1	0	0	0	40	3	0	2	3	0	0	0	0	0
Daily Kos	17	7	15	3	6	0	17	6	1	12	6	10	18	17	14	35	8	7	28	7	2	6	5	21	7	10	7	5	13	4	6	4	12	10	8	7	27	16	15	13	12	8	25	12	23	11	4	7	22	2	23	12	20	14	39	12	18	6	6	17	6	12	23	1	12	4	13	11	16	3	1	13	9	3	20	16	6	31	9	8	5	107	33	5	2	8	16	7	8	30	15	26	8	12	7	9	12	14	9	13	9	10	5	8	7	17	2	26	8	19	5	9	8	1	17	11	33	12	10	56	6	23	5	11	9	13	4	6	12	42	9	19	7	11	29	1	4	14	68	10	13	13	12	27	40	47	9	11	30	17	24	13	9
Google Blogoscoped	2	4	4	0	1	1	1	0	2	0	0	2	0	1	2	1	0	2	0	2	0	2	0	2	1	4	2	4	2	1	1	0	0	1	0	2	1	0	4	0	1	1	0	3	4	2	0	2	1	1	1	3	0	0	1	2	1	0	2	0	0	1	0	2	0	0	2	1	1	2	2	0	1	0	0	2	1	0	2	0	1	2	4	0	1	0	0	0	2	2	0	3	1	1	1	0	1	0	1	1	0	3	2	1	0	0	2	3	1	0	0	1	0	0	3	6	3	0	1	11	0	1	0	0	1	2	1	2	1	6	1	3	0	1	0	0	0	0	1	1	3	1	2	3	5	5	0	0	4	2	5	0	2
Deadspin	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	1	0	3	0	1	2	0	0	0	0	2	7	0	0	0	0	1	0	1	3	0	5	0	0	8	3	4	0	2	0	0	0	2	2	1	0	1	1	0	0	25	3	0	3	0	0	0	0	0	0	1	0	11	0	0	0	1	0	0	1	0	3	1	5	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	4	0	0	1	0	0	0	0	1	1	4	1	2	0	9	0	2	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	2	0	1	1	3	0	0	0	3	8	1	0	0	2	1	4	1	1	0
The Dish	1	0	2	1	3	1	0	3	7	0	3	2	1	1	2	0	0	4	1	3	0	1	0	0	0	0	0	0	1	3	2	0	0	1	1	1	1	3	3	0	1	3	2	7	0	2	1	4	0	0	1	1	2	3	4	3	5	1	9	1	0	1	0	0	2	1	0	3	0	0	1	1	3	1	0	0	0	1	1	0	1	3	4	0	2	0	1	2	1	4	1	2	0	1	2	0	1	1	6	0	1	2	1	2	0	1	0	1	4	0	1	7	2	0	3	3	9	2	1	1	3	3	0	0	0	1	1	0	2	6	1	1	0	0	1	3	1	3	11	0	2	0	0	4	2	5	3	3	2	6	1	1	2
Go Fug Yourself	0	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	10	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	10	1	0	0	0
O'Reilly Radar	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
MetaFilter	0	1	0	2	0	0	0	2	1	1	1	0	0	2	0	4	1	3	2	0	0	1	0	1	2	1	0	0	1	1	0	1	1	0	2	1	0	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	0	1	2	1	2	0	1	1	0	2	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	4	0	0	0	2	3	2	1	0	1	0	1	0	0	3	0	1	2	0	0	0	1	0	0	0	1	0	1	1	0	1	1	2	1	3	0	0	1	1	0	1	2	2	0	2	0	1	0	0	0	0	1	2	0	0	0	3	0	0	1	0	1	0	0	0	0	0	2	1	1	0	3	3	2	1	1
ReadWrite	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	2	2	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	10	0	0	0	1	0	1	0	1	0	0	10	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0
